 a 	c
http://de.dbpedia.org/resource/Niki_de_Saint_Phalle 	"11879406X"@de
http://de.dbpedia.org/resource/Niccolò_Paganini 	"118591177"@de
http://de.dbpedia.org/resource/Nadine_Gordimer 	"118718169"@de
http://de.dbpedia.org/resource/Niklaus_Wirth 	"120777983"@de
http://de.dbpedia.org/resource/Nicholas_Sparks 	"11818606X"@de
http://de.dbpedia.org/resource/Ole_von_Beust 	"120533081"@de
http://de.dbpedia.org/resource/Norbert_Wiener 	"118632558"@de
http://de.dbpedia.org/resource/Noam_Chomsky 	"118520520"@de
http://de.dbpedia.org/resource/Orson_Welles 	"118630822"@de
http://de.dbpedia.org/resource/Otto_Schily 	"120259168"@de
http://de.dbpedia.org/resource/Otto_Hahn 	"118544853"@de
http://de.dbpedia.org/resource/Oskar_Lafontaine 	"118855085"@de
http://de.dbpedia.org/resource/Osama_bin_Laden 	"123147808"@de
http://de.dbpedia.org/resource/Oswald_Spengler 	"118616110"@de
http://de.dbpedia.org/resource/Otho 	"118787357"@de
http://de.dbpedia.org/resource/Otto_Spamer 	"117480371"@de
http://de.dbpedia.org/resource/Octavia_E._Butler 	"120512599"@de
http://de.dbpedia.org/resource/Paul_Verhoeven_(Niederlande) 	"123165660"@de
http://de.dbpedia.org/resource/Paul_Desmond 	"103849785"@de
http://de.dbpedia.org/resource/Pierre_de_Fermat 	"118532561"@de
http://de.dbpedia.org/resource/Platon 	"118594893"@de
http://de.dbpedia.org/resource/Peter_Sellers 	"119336197"@de
http://de.dbpedia.org/resource/Piers_Anthony 	"118847627"@de
http://de.dbpedia.org/resource/Jean-François_Pilâtre_de_Rozier 	"11925235X"@de
http://de.dbpedia.org/resource/Probus_(Kaiser) 	"118793446"@de
http://de.dbpedia.org/resource/Paul_von_Hindenburg 	"118551264"@de
http://de.dbpedia.org/resource/Pierre-Simon_Laplace 	"118726536"@de
http://de.dbpedia.org/resource/Peter_Mark_Roget 	"117534404"@de
http://de.dbpedia.org/resource/Pippin_der_Jüngere 	"118594540"@de
http://de.dbpedia.org/resource/Phidias 	"118593765"@de
http://de.dbpedia.org/resource/Paul_Linebarger 	"108347486"@de
http://de.dbpedia.org/resource/Peter_Plichta 	"119275066"@de
http://de.dbpedia.org/resource/Richard_Quine 	"138361266"@de
http://de.dbpedia.org/resource/Quentin_Tarantino 	"119290685"@de
http://de.dbpedia.org/resource/Ronald_Schill 	"124084583"@de
http://de.dbpedia.org/resource/Robert_Rodriguez 	"119406284"@de
http://de.dbpedia.org/resource/Roland_Emmerich 	"11882516X"@de
http://de.dbpedia.org/resource/Rainer_Werner_Fassbinder 	"118532022"@de
